| Who              | Date            | Hours | Comment |
| -----------------|----------------|----------|---------------|
| Jakobimatrix | 03.06.2020 | 8h | research + scatch + buy parts for prototype
| Jakobimatrix | 05.06.2020 | 2h | set up Android Studio + Git repositories
| Jakobimatrix | 05.06.2020 | 4h | first unfinnished raw design of app, preparations and some trial and error
| Jakobimatrix | 18.06.2020 | 2h | soldering the programmer and test flashes
| Jakobimatrix | 19.06.2020 | 4h | working out ATtiny configuration, testing and research
| Jakobimatrix | 20.06.2020 | 3h | Writeing Dokumentation, drawing beta scematics
| Jakobimatrix | 21.06.2020 | 3h | research about bluetooth connection and begin writeing Java Class (Android)
| Jakobimatrix | 22.06.2020 | 5h | formulateing functions to calculate shutter delay such that they only need integer arithmetic + Define Protokol for function transmition via Bluetooth + Dokumentation 
| Jakobimatrix | 23.06.2020 | 6h | Sketch for ATtiny for intervalometer, not testet, not optimized
| Jakobimatrix | 24.06.2020 | 11h| first version of App with working debug example
| Jakobimatrix | 25.06.2020 | 8.5h| fixed ATtiny read function. Fixed app crashes.
| Jakobimatrix | 12.07.2020 | 6h | Refine user interface.
| Jakobimatrix | 16.07.2020 | 4h | Figureing out OpenGL
| Jakobimatrix | 17.07.2020 | 5h | failing at openGL
| Jakobimatrix | 18.07.2020 | 11h| first workable and scalable rendering + commentary
| Jakobimatrix | 19.07.2020 | 11h| adding more drawables, fixing renderer drawable handling
| Jakobimatrix | 20.07.2020 | 4h | drawable CoordinateSystem for funcion display + homography
| Jakobimatrix | 21.07.2020 | 10h| fixing stuff adding stuff deleting stuff and crying
| Jakobimatrix | 22.07.2020 | 8h | haveing a working Coordinate system and functions
